name,screen_name,id_str,created_date,text,retweet_count,favorite_count,geo,retweet
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-06 19:29:37,"Talofa! I appreciate the State of the Union priorities by the President @POTUS and those special moments with his guests. My reaction and thoughts regarding American Samoa 
https://t.co/xnz5oFc6l8",0,1,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-06 19:24:42,"Talofa! Welcoming @USDOT grant for road restoration for Storm Gita’s significant impact on American Samoa: landslides/rockfalls, damaged roadway shoulders, culvert and pavement. @SecElaineChao thank you!
https://t.co/EqqfCmGhji https://t.co/K77DKdhQ5t",0,1,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-05 19:46:47,Talofa! Our islands welcome federal FEMA funds of $1.925 million based on powerful Storm Gita for American Samoa power restoration. Thanks to Administrator @FEMA_Brock along with @SecNielsen and all at ASPA doing important restoration work https://t.co/eZ9tYu4IBQ,0,0,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-04 22:08:46,"I know the President’s nominee as Secretary will benefit from the accumulated insights about our Territory from DOI visits to our islands and the Pacific region, including @ASIIADomenech and others",0,1,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-04 22:05:19,Talofa. News today that President Trump nominated Acting Secretary David Bernhardt for Senate confirmation to provide continuity to DOI. I appreciate leadership @Interior throughout the Trump Administration being willing to visit to see &amp; know American Samoa firsthand...,0,2,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-04 22:01:43,"Talofa! I appreciate a recent update on @Interior services from @ASIIADomenech &amp; Director Pula at American Samoa’s congressional office. Assistant Secretary Domenech is a friend to our Territory, and of course Director Pula &amp; Insular Affairs knows our islands well. https://t.co/jTUmQ6TsHV",0,3,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-04 20:11:26,"Talofa! A pleasure welcoming @NZAmbassadorUS Rosemary Banks to American Samoa’s congressional office recently for a good discussion. Both of us represent beautiful places in the Pacific! I appreciate her experience &amp; insight from representing her country to the UN, France, etc. https://t.co/wed82WqHRU",1,3,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-04 19:18:25,"Talofa! Thank you to Ranking Member @RepSteveChabot a longtime friend to small businesses, and I look forward to serving as Vice Ranking Member on the Small Business Committee @HSBCgop 
https://t.co/2YIIIPDdHf https://t.co/CWWxm40g0x",0,2,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-01-30 22:00:25,"It's actually my second time in this role, since I served on President Bush’s AAPI Commission too. Also, I’m so pleased at the appointment of Papaliitele David Cohen, former head of Insular Affairs for the Interior Dept.",0,0,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-01-30 21:57:34,"Talofa! I’m humbled to serve on the President's Advisory Commission on Asian Americans and Pacific Islanders, as the only Commissioner living in a US Territory, &amp; the only one currently living in the Pacific region (beyond the US west coast)... https://t.co/BZjh764Re1",1,1,,False
