name,screen_name,id_str,created_date,text,retweet_count,favorite_count,geo,retweet
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-08 19:28:43,Talofa! Yesterday on House floor for my amendment and the Veterans child care act https://t.co/JdQdyf31rA via @YouTube,0,0,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-08 19:26:00,Talofa! My thoughts on my amendment and a Veterans Child Care bill that passed today with bipartisan support https://t.co/Q9U01ND11i https://t.co/wcv9OHmTrC,1,3,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-07 18:48:33,"Talofa! We're working together to continue important reform efforts at the VA in the 116th Congress, ensuring our Veterans are served and know our heartfelt commitment to them https://t.co/LnCVuE76PG",1,3,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-07 18:44:38,Talofa! What a privilege to work with these fine Members of Congress on behalf of our Veterans. We have a high rate of service in the Armed Forces and many wonderful Veterans in our Islands https://t.co/kLE3c8Wiam,1,3,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-07 18:42:29,"Talofa! I've been named Vice Ranking Member of the @HouseVetsAffairsGOP for the 116th Congress by Ranking Member @DrPhilRoe &amp; appreciate his commitment to Veterans 
https://t.co/FlEHZKXj4q",1,4,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-06 19:29:37,"Talofa! I appreciate the State of the Union priorities by the President @POTUS and those special moments with his guests. My reaction and thoughts regarding American Samoa 
https://t.co/xnz5oFc6l8",0,1,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-06 19:24:42,"Talofa! Welcoming @USDOT grant for road restoration for Storm Gita’s significant impact on American Samoa: landslides/rockfalls, damaged roadway shoulders, culvert and pavement. @SecElaineChao thank you!
https://t.co/EqqfCmGhji https://t.co/K77DKdhQ5t",0,1,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-05 19:46:47,Talofa! Our islands welcome federal FEMA funds of $1.925 million based on powerful Storm Gita for American Samoa power restoration. Thanks to Administrator @FEMA_Brock along with @SecNielsen and all at ASPA doing important restoration work https://t.co/eZ9tYu4IBQ,0,0,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-04 22:08:46,"I know the President’s nominee as Secretary will benefit from the accumulated insights about our Territory from DOI visits to our islands and the Pacific region, including @ASIIADomenech and others",0,2,,False
Rep. Aumua Amata🇦🇸,RepAmata,3026622545,2019-02-04 22:05:19,Talofa. News today that President Trump nominated Acting Secretary David Bernhardt for Senate confirmation to provide continuity to DOI. I appreciate leadership @Interior throughout the Trump Administration being willing to visit to see &amp; know American Samoa firsthand...,0,2,,False
Senator Todd Young,SenToddYoung,234128524,2019-02-08 20:30:00,"Don’t miss @VeronicaDeKett’s reporting for @WEVV on the bracelet I gave @POTUS this week to honor fallen Marine Alec Terwiske of Dubois, Indiana: https://t.co/ji95rXi5I0",5,20,,False
Senator Todd Young,SenToddYoung,234128524,2019-02-08 18:45:00,"Thanks to the folks from across Indiana who joined this week's #HoosierHuddle. If you want to join us next time, sign up here: https://t.co/LyTRlAUghA https://t.co/4M8iK9yOtN",4,11,,False
